,日期,本益比,殖利率(%),股價淨值比,股利年度,財報年/季
914,107年09月27日,19.56,3.02,4.61,106,107/2
915,107年09月28日,19.37,3.05,4.57,106,107/2
916,107年10月01日,19.41,3.04,4.58,106,107/2
917,107年10月02日,19.00,3.11,4.48,106,107/2
918,107年10月03日,19.19,3.08,4.52,106,107/2
919,107年10月04日,18.75,3.15,4.42,106,107/2
920,107年10月05日,18.45,3.20,4.35,106,107/2
921,107年10月08日,17.97,3.29,4.24,106,107/2
922,107年10月09日,18.01,3.28,4.25,106,107/2
923,107年10月11日,16.79,3.52,3.96,106,107/2
924,107年10月12日,17.49,3.38,4.12,106,107/2
925,107年10月15日,17.01,3.47,4.01,106,107/2
926,107年10月16日,17.49,3.38,4.12,106,107/2
927,107年10月17日,17.60,3.35,4.15,106,107/2
928,107年10月18日,17.45,3.38,4.12,106,107/2
929,107年10月19日,17.42,3.39,4.11,106,107/2
930,107年10月22日,17.49,3.38,4.12,106,107/2
931,107年10月23日,16.97,3.48,4.00,106,107/2
932,107年10月24日,16.94,3.49,3.99,106,107/2
933,107年10月25日,16.20,3.64,3.82,106,107/2
934,107年10月26日,16.31,3.62,3.85,106,107/2
935,107年10月29日,16.42,3.60,3.87,106,107/2
936,107年10月30日,16.46,3.59,3.88,106,107/2
937,107年10月31日,17.27,3.42,4.07,106,107/2
938,107年11月01日,17.38,3.40,4.10,106,107/2
939,107年11月02日,17.45,3.38,4.12,106,107/2
940,107年11月05日,17.34,3.40,4.09,106,107/2
941,107年11月06日,17.31,3.41,4.08,106,107/2
942,107年11月07日,17.27,3.42,4.07,106,107/2
943,107年11月08日,17.45,3.38,4.12,106,107/2
944,107年11月09日,17.05,3.46,4.02,106,107/2
945,107年11月12日,17.08,3.46,4.03,106,107/2
946,107年11月13日,16.79,3.52,3.96,106,107/2
947,107年11月14日,16.90,3.50,3.76,106,107/3
948,107年11月15日,17.09,3.46,3.80,106,107/3
949,107年11月16日,16.72,3.54,3.72,106,107/3
950,107年11月19日,16.42,3.60,3.65,106,107/3
951,107年11月20日,16.12,3.67,3.59,106,107/3
952,107年11月21日,16.20,3.65,3.60,106,107/3
953,107年11月22日,16.20,3.65,3.60,106,107/3
954,107年11月23日,16.16,3.66,3.60,106,107/3
955,107年11月26日,16.49,3.59,3.67,106,107/3
956,107年11月27日,16.57,3.57,3.69,106,107/3
957,107年11月28日,16.75,3.53,3.73,106,107/3
958,107年11月29日,16.94,3.49,3.77,106,107/3
959,107年11月30日,16.68,3.55,3.71,106,107/3
960,107年12月03日,17.38,3.40,3.87,106,107/3
961,107年12月04日,17.31,3.42,3.85,106,107/3
962,107年12月05日,16.72,3.54,3.72,106,107/3
963,107年12月06日,16.27,3.64,3.62,106,107/3
964,107年12月07日,16.35,3.62,3.64,106,107/3
965,107年12月10日,16.20,3.65,3.60,106,107/3
966,107年12月11日,16.46,3.60,3.66,106,107/3
967,107年12月12日,16.75,3.53,3.73,106,107/3
968,107年12月13日,16.72,3.54,3.72,106,107/3
969,107年12月14日,16.46,3.60,3.66,106,107/3
970,107年12月17日,16.53,3.58,3.68,106,107/3
971,107年12月18日,16.46,3.60,3.66,106,107/3
972,107年12月19日,16.68,3.55,3.71,106,107/3
973,107年12月20日,16.35,3.62,3.64,106,107/3
974,107年12月21日,16.53,3.58,3.68,106,107/3
975,107年12月22日,16.38,3.61,3.65,106,107/3
976,107年12月24日,16.27,3.64,3.62,106,107/3
977,107年12月25日,16.09,3.68,3.58,106,107/3
978,107年12月26日,16.01,3.70,3.56,106,107/3
979,107年12月27日,16.49,3.59,3.67,106,107/3
980,107年12月28日,16.68,3.55,3.71,106,107/3
981,108年01月02日,16.24,3.64,3.61,106,107/3
982,108年01月03日,15.94,3.71,3.55,106,107/3
983,108年01月04日,15.38,3.85,3.42,106,107/3
984,108年01月07日,15.75,3.76,3.51,106,107/3
985,108年01月08日,15.61,3.79,3.47,106,107/3
986,108年01月09日,15.94,3.71,3.55,106,107/3
987,108年01月10日,15.98,3.70,3.56,106,107/3
988,108年01月11日,16.31,3.63,3.63,106,107/3
989,108年01月14日,16.16,3.66,3.60,106,107/3
990,108年01月15日,16.35,3.62,3.64,106,107/3
991,108年01月16日,16.09,3.68,3.58,106,107/3
992,108年01月17日,16.31,3.63,3.63,106,107/3
993,108年01月18日,16.16,3.66,3.60,106,107/3
994,108年01月21日,16.35,3.62,3.64,106,107/3
995,108年01月22日,16.49,3.59,3.67,106,107/3
996,108年01月23日,16.31,3.63,3.63,106,107/3
997,108年01月24日,16.46,3.60,3.66,106,107/3
998,108年01月25日,16.72,3.54,3.72,106,107/3
999,108年01月28日,16.94,3.49,3.77,106,107/3
1000,108年01月29日,16.46,3.60,3.66,106,107/3
1001,108年01月30日,16.35,3.62,3.64,106,107/3
1002,108年02月11日,16.86,3.51,3.75,106,107/3
1003,108年02月12日,17.01,3.48,3.79,106,107/3
1004,108年02月13日,16.94,3.49,3.77,106,107/3
1005,108年02月14日,16.79,3.52,3.74,106,107/3
1006,108年02月15日,16.79,3.52,3.74,106,107/3
1007,108年02月18日,17.01,3.48,3.79,106,107/3
1008,108年02月19日,16.94,3.49,3.77,106,107/3
1009,108年02月20日,17.34,3.41,3.86,106,107/3
1010,108年02月21日,17.49,3.38,3.89,106,107/3
1011,108年02月22日,17.47,3.38,3.66,106,107/4
1012,108年02月25日,17.58,3.36,3.68,107,107/4
1013,108年02月26日,17.69,3.34,3.70,107,107/4
1014,108年02月27日,17.65,3.35,3.70,107,107/4
1015,108年03月04日,17.39,3.40,3.64,107,107/4
1016,108年03月05日,17.21,3.43,3.60,107,107/4
1017,108年03月06日,17.28,3.42,3.62,107,107/4
1018,108年03月07日,17.28,3.42,3.62,107,107/4
1019,108年03月08日,16.99,3.48,3.56,107,107/4
1020,108年03月11日,17.02,3.47,3.56,107,107/4
1021,108年03月12日,17.39,3.40,3.64,107,107/4
1022,108年03月13日,17.50,3.38,3.66,107,107/4
1023,108年03月14日,17.32,3.41,3.63,107,107/4
1024,108年03月15日,17.65,3.35,3.70,107,107/4
1025,108年03月18日,17.80,3.32,3.73,107,107/4
1026,108年03月19日,17.76,3.33,3.72,107,107/4
1027,108年03月20日,17.87,3.31,3.74,107,107/4
1028,108年03月21日,18.13,3.26,3.80,107,107/4
1029,108年03月22日,18.35,3.22,3.84,107,107/4
1030,108年03月25日,17.84,3.31,3.73,107,107/4
1031,108年03月26日,18.02,3.28,3.77,107,107/4
1032,108年03月27日,17.84,3.31,3.73,107,107/4
1033,108年03月28日,17.87,3.31,3.74,107,107/4
1034,108年03月29日,18.13,3.26,3.80,107,107/4
1035,108年04月01日,18.13,3.26,3.80,107,107/4
1036,108年04月02日,18.17,3.25,3.80,107,107/4
1037,108年04月03日,18.21,3.25,3.81,107,107/4
1038,108年04月08日,18.69,3.16,3.91,107,107/4
1039,108年04月09日,18.76,3.15,3.93,107,107/4
1040,108年04月10日,18.76,3.15,3.93,107,107/4
1041,108年04月11日,18.61,3.17,3.90,107,107/4
1042,108年04月12日,18.61,3.17,3.90,107,107/4
1043,108年04月15日,18.87,3.13,3.95,107,107/4
1044,108年04月16日,18.98,3.11,3.97,107,107/4
1045,108年04月17日,19.31,3.06,4.04,107,107/4
1046,108年04月18日,19.53,3.02,4.09,107,107/4
1047,108年04月19日,19.53,3.02,4.09,107,107/4
1048,108年04月22日,19.65,3.01,4.11,107,107/4
1049,108年04月23日,19.79,2.99,4.14,107,107/4
1050,108年04月24日,19.87,2.97,4.16,107,107/4
1051,108年04月25日,19.76,2.99,4.14,107,107/4
1052,108年04月26日,19.20,3.08,4.02,107,107/4
1053,108年04月29日,19.17,3.08,4.01,107,107/4
1054,108年04月30日,19.13,3.09,4.00,107,107/4
1055,108年05月02日,19.13,3.09,4.00,107,107/4
1056,108年05月03日,19.57,3.02,4.10,107,107/4
1057,108年05月06日,19.13,3.09,4.00,107,107/4
1058,108年05月07日,19.39,3.05,4.06,107,107/4
1059,108年05月08日,19.20,3.08,4.02,107,107/4
1060,108年05月09日,18.94,3.12,3.97,107,107/4
1061,108年05月10日,18.91,3.13,3.96,107,107/4
1062,108年05月13日,18.50,3.19,3.87,107,107/4
1063,108年05月14日,18.35,3.22,3.84,107,107/4
1064,108年05月15日,20.00,3.21,3.70,107,108/1
1065,108年05月16日,19.84,3.24,3.68,107,108/1
1066,108年05月17日,19.40,3.31,3.59,107,108/1
1067,108年05月20日,19.12,3.36,3.54,107,108/1
1068,108年05月21日,18.80,3.42,3.48,107,108/1
1069,108年05月22日,19.12,3.36,3.54,107,108/1
1070,108年05月23日,18.47,3.48,3.42,107,108/1
1071,108年05月24日,18.71,3.43,3.47,107,108/1
1072,108年05月27日,18.55,3.46,3.44,107,108/1
1073,108年05月28日,18.51,3.47,3.43,107,108/1
1074,108年05月29日,18.43,3.49,3.41,107,108/1
1075,108年05月30日,18.55,3.46,3.44,107,108/1
1076,108年05月31日,18.92,3.40,3.50,107,108/1
1077,108年06月03日,19.12,3.36,3.54,107,108/1
1078,108年06月04日,18.71,3.43,3.47,107,108/1
1079,108年06月05日,18.88,3.40,3.50,107,108/1
1080,108年06月06日,18.63,3.45,3.45,107,108/1
1081,108年06月10日,19.28,3.33,3.57,107,108/1
1082,108年06月11日,19.64,3.27,3.64,107,108/1
1083,108年06月12日,19.76,3.25,3.66,107,108/1
1084,108年06月13日,19.28,3.33,3.57,107,108/1
1085,108年06月14日,18.96,3.39,3.51,107,108/1
1086,108年06月17日,18.71,3.43,3.47,107,108/1
1087,108年06月18日,18.92,3.40,3.50,107,108/1
1088,108年06月19日,19.60,3.28,3.63,107,108/1
1089,108年06月20日,19.68,3.27,3.65,107,108/1
1090,108年06月21日,19.96,3.22,3.70,107,108/1
1091,108年06月24日,19.36,3.32,3.59,107,108/1
1092,108年06月25日,19.16,3.35,3.55,107,108/1
1093,108年06月26日,18.84,3.41,3.49,107,108/1
1094,108年06月27日,19.32,3.33,3.58,107,108/1
1095,108年06月28日,19.20,3.35,3.56,107,108/1
1096,108年07月01日,19.96,3.22,3.70,107,108/1
1097,108年07月02日,20.00,3.21,3.70,107,108/1
1098,108年07月03日,19.48,3.30,3.61,107,108/1
1099,108年07月04日,19.60,3.28,3.63,107,108/1
1100,108年07月05日,19.52,3.29,3.62,107,108/1
1101,108年07月08日,19.48,3.30,3.61,107,108/1
1102,108年07月09日,19.44,3.31,3.60,107,108/1
1103,108年07月10日,19.84,3.24,3.68,107,108/1
1104,108年07月11日,20.08,3.20,3.72,107,108/1
1105,108年07月12日,20.12,3.19,3.73,107,108/1
1106,108年07月15日,20.44,3.14,3.79,107,108/1
1107,108年07月16日,20.56,3.13,3.81,107,108/1
1108,108年07月17日,20.24,3.17,3.75,107,108/1
1109,108年07月18日,20.40,3.15,3.78,107,108/1
1110,108年07月19日,20.80,3.09,3.85,107,108/1
1111,108年07月22日,21.20,3.03,3.93,107,108/1
1112,108年07月23日,21.20,3.03,3.93,107,108/1
1113,108年07月24日,21.29,3.02,3.94,107,108/1
1114,108年07月25日,21.29,3.02,3.94,107,108/1
1115,108年07月26日,20.96,3.07,3.88,107,108/1
1116,108年07月29日,20.96,3.07,3.88,107,108/1
1117,108年07月30日,20.88,3.08,3.87,107,108/1
1118,108年07月31日,20.84,3.08,3.86,107,108/1
1119,108年08月01日,20.60,3.12,3.82,107,108/1
1120,108年08月02日,20.20,3.18,3.74,107,108/1
1121,108年08月05日,19.80,3.25,3.67,107,108/1
1122,108年08月06日,19.96,3.22,3.70,107,108/1
1123,108年08月07日,19.92,3.23,3.69,107,108/1
1124,108年08月08日,20.36,3.16,3.77,107,108/1
1125,108年08月12日,20.16,3.19,3.73,107,108/1
1126,108年08月13日,19.80,3.25,3.67,107,108/1
1127,108年08月14日,20.40,3.21,4.16,107,108/2
1128,108年08月15日,20.28,3.23,4.14,107,108/2
1129,108年08月16日,20.44,3.20,4.17,107,108/2
1130,108年08月19日,20.61,3.17,4.21,107,108/2
1131,108年08月20日,20.81,3.14,4.25,107,108/2
1132,108年08月21日,20.81,3.14,4.25,107,108/2
1133,108年08月22日,20.77,3.15,4.24,107,108/2
1134,108年08月23日,20.77,3.15,4.24,107,108/2
1135,108年08月26日,20.32,3.22,4.15,107,108/2
1136,108年08月27日,20.44,3.20,4.17,107,108/2
1137,108年08月28日,20.61,3.17,4.21,107,108/2
1138,108年08月29日,20.77,3.15,4.24,107,108/2
1139,108年08月30日,21.18,3.09,4.32,107,108/2
1140,108年09月02日,21.05,3.11,4.30,107,108/2
1141,108年09月03日,20.77,3.15,4.24,107,108/2
1142,108年09月04日,21.05,3.11,4.30,107,108/2
1143,108年09月05日,21.50,3.04,4.39,107,108/2
1144,108年09月06日,21.55,3.04,4.40,107,108/2
1145,108年09月09日,21.67,3.02,4.42,107,108/2
1146,108年09月10日,21.38,3.06,4.36,107,108/2
1147,108年09月11日,21.50,3.04,4.39,107,108/2
1148,108年09月12日,21.46,3.05,4.38,107,108/2
1149,108年09月16日,21.71,3.01,4.43,107,108/2
1150,108年09月17日,21.67,3.02,4.42,107,108/2
1151,108年09月18日,21.83,3.00,4.46,107,108/2
1152,108年09月19日,21.67,3.02,4.42,107,108/2
1153,108年09月20日,21.59,3.03,4.41,107,108/2
1154,108年09月23日,21.59,3.03,4.41,107,108/2
1155,108年09月24日,21.67,3.02,4.42,107,108/2
1156,108年09月25日,21.75,3.01,4.44,107,108/2
1157,108年09月26日,21.91,2.99,4.47,107,108/2
1158,108年09月27日,22.24,2.94,4.54,107,108/2
1159,108年10月01日,22.89,2.86,4.67,107,108/2
1160,108年10月02日,22.85,2.86,4.66,107,108/2
1161,108年10月03日,22.61,2.89,4.61,107,108/2
1162,108年10月04日,22.61,2.89,4.61,107,108/2
1163,108年10月07日,22.73,2.88,4.64,107,108/2
1164,108年10月08日,23.43,2.79,4.78,107,108/2
1165,108年10月09日,23.06,2.84,4.71,107,108/2
1166,108年10月14日,23.71,2.76,4.84,107,108/2
1167,108年10月15日,24.00,2.73,4.90,107,108/2
1168,108年10月16日,24.24,2.70,4.95,107,108/2
1169,108年10月17日,24.00,2.73,4.90,107,108/2
1170,108年10月18日,23.96,2.73,4.89,107,108/2
1171,108年10月21日,23.71,2.76,4.84,107,108/2
1172,108年10月22日,24.04,2.72,4.91,107,108/2
1173,108年10月23日,23.96,2.73,4.89,107,108/2
1174,108年10月24日,23.96,2.73,4.89,107,108/2
1175,108年10月25日,24.00,2.73,4.90,107,108/2
1176,108年10月28日,24.08,2.72,4.91,107,108/2
1177,108年10月29日,24.41,2.68,4.98,107,108/2
1178,108年10月30日,24.49,2.67,5.00,107,108/2
1179,108年10月31日,24.41,2.68,4.98,107,108/2
1180,108年11月01日,24.45,2.68,4.99,107,108/2
1181,108年11月04日,25.10,2.61,5.12,107,108/2
1182,108年11月05日,25.39,2.58,5.18,107,108/2
1183,108年11月06日,25.43,2.57,5.19,107,108/2
1184,108年11月07日,25.27,2.59,5.16,107,108/2
1185,108年11月08日,24.98,2.62,5.10,107,108/2
1186,108年11月11日,24.61,2.66,5.02,107,108/2
1187,108年11月12日,24.94,2.62,5.09,107,108/2
1188,108年11月13日,24.86,2.63,5.07,107,108/2
1189,108年11月14日,23.90,2.64,4.96,107,108/3
1190,108年11月15日,24.17,2.61,5.02,107,108/3
1191,108年11月18日,24.49,2.57,5.08,107,108/3
1192,108年11月19日,24.80,2.54,5.15,107,108/3
1193,108年11月20日,24.69,2.55,5.12,107,108/3
1194,108年11月21日,24.49,2.57,5.08,107,108/3
1195,108年11月22日,24.33,2.59,5.05,107,108/3
1196,108年11月25日,24.17,2.61,5.02,107,108/3
1197,108年11月26日,24.17,2.61,5.02,107,108/3
1198,108年11月27日,24.49,2.57,5.08,107,108/3
1199,108年11月28日,24.37,2.58,5.06,107,108/3
1200,108年11月29日,24.02,2.62,4.98,107,108/3
1201,108年12月02日,24.21,2.60,5.02,107,108/3
1202,108年12月03日,24.17,2.61,5.02,107,108/3
1203,108年12月04日,24.09,2.61,5.00,107,108/3
1204,108年12月05日,24.57,2.56,5.10,107,108/3
1205,108年12月06日,24.65,2.56,5.11,107,108/3
1206,108年12月09日,24.88,2.53,5.16,107,108/3
1207,108年12月10日,24.69,2.55,5.12,107,108/3
1208,108年12月11日,25.12,2.51,5.21,107,108/3
1209,108年12月12日,26.10,2.41,5.42,107,108/3
1210,108年12月13日,26.69,2.36,5.54,107,108/3
1211,108年12月16日,26.46,2.38,5.49,107,108/3
1212,108年12月17日,27.17,2.32,5.64,107,108/3
1213,108年12月18日,27.13,2.32,5.63,107,108/3
1214,108年12月19日,26.38,2.39,5.47,107,108/3
1215,108年12月20日,25.91,2.43,5.38,107,108/3
1216,108年12月23日,26.30,2.40,5.46,107,108/3
1217,108年12月24日,26.14,2.41,5.42,107,108/3
1218,108年12月25日,26.22,2.40,5.44,107,108/3
1219,108年12月26日,26.22,2.40,5.44,107,108/3
1220,108年12月27日,26.61,2.37,5.52,107,108/3
1221,108年12月30日,26.34,2.39,5.47,107,108/3
1222,108年12月31日,26.06,2.42,5.41,107,108/3
1223,109年01月02日,26.69,2.36,5.54,107,108/3
1224,109年01月03日,26.73,2.36,5.55,107,108/3
1225,109年01月06日,26.14,2.41,5.42,107,108/3
1226,109年01月07日,25.94,2.43,5.38,107,108/3
1227,109年01月08日,25.94,2.43,5.38,107,108/3
1228,109年01月09日,26.57,2.37,5.51,107,108/3
1229,109年01月10日,26.73,2.36,5.55,107,108/3
1230,109年01月13日,26.89,2.34,5.58,107,108/3
1231,109年01月14日,27.24,2.31,5.65,107,108/3
1232,109年01月15日,26.77,2.35,5.56,107,108/3
1233,109年01月16日,26.34,2.39,5.47,107,108/3
1234,109年01月17日,26.22,2.40,5.44,107,108/3
1235,109年01月20日,26.22,2.40,5.44,107,108/3
1236,109年01月30日,24.92,2.53,5.17,107,108/3
1237,109年01月31日,25.20,2.50,5.23,107,108/3
1238,109年02月03日,24.80,2.54,5.15,107,108/3
1239,109年02月04日,25.59,2.46,5.31,107,108/3
1240,109年02月05日,25.79,2.44,5.35,107,108/3
1241,109年02月06日,26.18,2.41,5.43,107,108/3
1242,109年02月07日,25.83,2.44,5.36,107,108/3
1243,109年02月10日,25.79,2.44,5.35,107,108/3
1244,109年02月11日,26.10,2.41,5.42,107,108/3
1245,109年02月12日,26.38,2.39,5.47,107,108/3
1246,109年02月13日,26.38,2.39,5.47,107,108/3
1247,109年02月14日,26.38,2.39,5.47,107,108/3
1248,109年02月17日,26.10,2.41,5.42,107,108/3
1249,109年02月18日,25.35,2.48,5.26,107,108/3
1250,109年02月19日,25.71,2.45,5.33,107,108/3
1251,109年02月20日,25.63,2.46,5.32,107,108/3
1252,109年02月21日,25.59,2.46,5.31,107,108/3
1253,109年02月24日,25.20,2.50,5.23,107,108/3
1254,109年02月25日,25.35,2.48,5.26,107,108/3
1255,109年02月26日,25.08,2.51,5.20,107,108/3
1256,109年02月27日,24.88,2.53,5.16,107,108/3
1257,109年03月02日,23.35,2.57,4.97,107,108/4
1258,109年03月03日,23.84,2.52,5.08,107,108/4
1259,109年03月04日,24.06,2.50,5.13,107,108/4
1260,109年03月05日,24.25,2.48,5.17,107,108/4
1261,109年03月06日,23.65,2.54,5.04,107,108/4
1262,109年03月09日,22.94,2.62,4.89,107,108/4
1263,109年03月10日,23.05,2.61,4.91,107,108/4
1264,109年03月11日,22.67,2.65,4.83,107,108/4
1265,109年03月12日,22.07,2.72,4.70,107,108/4
1266,109年03月13日,21.77,2.76,4.64,107,108/4
1267,109年03月16日,20.76,2.89,4.42,107,108/4
1268,109年03月17日,20.12,2.99,4.29,107,108/4
1269,109年03月18日,19.52,3.08,4.16,107,108/4
1270,109年03月19日,18.62,3.23,3.97,107,108/4
1271,109年03月20日,20.27,2.96,4.32,107,108/4
1272,109年03月23日,19.14,3.14,4.08,107,108/4
1273,109年03月24日,20.08,2.99,4.28,107,108/4
1274,109年03月25日,20.80,3.43,4.43,108,108/4
1275,109年03月26日,21.02,3.39,4.48,108,108/4
1276,109年03月27日,20.50,3.48,4.37,108,108/4
1277,109年03月30日,20.08,3.55,4.28,108,108/4
1278,109年03月31日,20.57,3.47,4.38,108,108/4
1279,109年04月01日,20.38,3.50,4.34,108,108/4
1280,109年04月06日,20.68,3.45,4.41,108,108/4
1281,109年04月07日,21.25,3.36,4.53,108,108/4
1282,109年04月08日,21.40,3.33,4.56,108,108/4
1283,109年04月09日,21.25,3.36,4.53,108,108/4
1284,109年04月10日,20.98,3.40,4.47,108,108/4
1285,109年04月13日,20.91,3.41,4.45,108,108/4
1286,109年04月14日,21.40,3.33,4.56,108,108/4
1287,109年04月15日,21.58,3.30,4.60,108,108/4
1288,109年04月16日,21.51,3.32,4.58,108,108/4
1289,109年04月17日,23.01,3.10,4.90,108,108/4
1290,109年04月20日,22.82,3.13,4.86,108,108/4
1291,109年04月21日,22.15,3.22,4.72,108,108/4
1292,109年04月22日,22.07,3.23,4.70,108,108/4
1293,109年04月23日,22.18,3.21,4.73,108,108/4
1294,109年04月24日,22.07,3.23,4.70,108,108/4
1295,109年04月27日,22.37,3.19,4.77,108,108/4
1296,109年04月28日,22.26,3.20,4.74,108,108/4
1297,109年04月29日,22.45,3.18,4.78,108,108/4
1298,109年04月30日,22.86,3.12,4.87,108,108/4
1299,109年05月04日,22.15,3.22,4.72,108,108/4
1300,109年05月05日,22.18,3.21,4.73,108,108/4
1301,109年05月06日,22.22,3.21,4.73,108,108/4
1302,109年05月07日,22.33,3.19,4.76,108,108/4
1303,109年05月08日,22.33,3.19,4.76,108,108/4
1304,109年05月11日,22.60,3.16,4.81,108,108/4
1305,109年05月12日,22.15,3.22,4.72,108,108/4
1306,109年05月13日,22.30,3.20,4.75,108,108/4
1307,109年05月14日,18.95,3.24,4.53,108,109/1
1308,109年05月15日,19.28,3.19,4.61,108,109/1
1309,109年05月18日,18.76,3.28,4.49,108,109/1
